title;content;start_date;end_date;location;organizer;price_regular;price_reduced;status;category;tags;featured_image_url
Jazz Night mit Sarah Connor;Ein unvergesslicher Abend mit Jazz-Legende Sarah Connor. Erleben Sie zeitlose Klassiker und neue Interpretationen in intimer Atmosphäre.;2026-05-15 20:00:00;2026-05-15 23:00:00;Großer Saal;Kulturhaus Osterfeld;35.00;25.00;upcoming;Konzerte;Jazz,Live-Musik;https://images.unsplash.com/photo-1511192336575-5a79af67a629?w=800
Comedy Night - Stand-Up Special;Die besten Comedians der Region präsentieren ihre neuesten Programme. Lachen garantiert!;2026-05-20 19:30:00;2026-05-20 22:00:00;Kleiner Saal;Comedy Club Pforzheim;28.00;20.00;upcoming;Comedy,Kabarett;Comedy,Stand-Up;https://images.unsplash.com/photo-1585699324551-f6c309eedeca?w=800
Theateraufführung: Faust;Goethes Meisterwerk neu interpretiert von der Theatergruppe Osterfeld. Ein Muss für Theaterliebhaber!;2026-06-01 19:00:00;2026-06-01 22:00:00;Hauptbühne;Theater Osterfeld;42.00;30.00;upcoming;Theater;Klassik,Drama;https://images.unsplash.com/photo-1503095396549-807759245b35?w=800
Kindertheater: Der Grüffelo;Bezauberndes Kindertheater nach dem beliebten Bilderbuch. Für Kinder ab 3 Jahren.;2026-05-25 15:00:00;2026-05-25 16:30:00;Studiobühne;Kindertheater Pforzheim;12.00;8.00;upcoming;Kinderveranstaltungen;Kinder,Familie;https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=800
Rock Festival 2026;Drei Tage voller Rock-Musik mit nationalen und internationalen Bands. Camping möglich!;2026-07-10 18:00:00;2026-07-12 23:00:00;Außengelände;Rock Festival GmbH;89.00;65.00;upcoming;Konzerte,Festival;Rock,Festival,Open-Air;https://images.unsplash.com/photo-1470229722913-7c0e2dbbafd3?w=800
Kunstausstellung: Moderne Perspektiven;Zeitgenössische Kunst von regionalen Künstlern. Vernissage mit Sektempfang.;2026-05-18 18:00:00;2026-06-15 20:00:00;Galerie;Kunstverein Pforzheim;0.00;0.00;upcoming;Ausstellungen;Kunst,Vernissage;https://images.unsplash.com/photo-1460661419201-fd4cecdf8a8b?w=800
Salsa Night - Tanzen bis zum Morgengrauen;Heiße Rhythmen und lateinamerikanische Lebensfreude. Für Anfänger und Profis.;2026-05-22 21:00:00;2026-05-23 03:00:00;Großer Saal;Salsa Club Pforzheim;15.00;12.00;upcoming;Tanz,Party;Salsa,Tanz,Latin;https://images.unsplash.com/photo-1504609773096-104ff2c73ba4?w=800
Filmabend: Klassiker des deutschen Kinos;Retrospektive mit Filmen von Rainer Werner Fassbinder. Mit anschließender Diskussion.;2026-05-28 19:00:00;2026-05-28 22:30:00;Kinosaal;Filmclub Osterfeld;8.00;6.00;upcoming;Film,Kino;Film,Klassiker;https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=800
Workshop: Kreatives Schreiben;Entdecken Sie Ihre Kreativität in unserem Schreibworkshop. Für Anfänger und Fortgeschrittene.;2026-06-05 10:00:00;2026-06-05 17:00:00;Seminarraum 1;Volkshochschule;45.00;35.00;upcoming;Workshop;Kreativität,Bildung;https://images.unsplash.com/photo-1455390582262-044cdead277a?w=800
Konzert: Klassik unter Sternen;Open-Air Konzert mit dem Philharmonischen Orchester. Bei Regen im Großen Saal.;2026-06-20 20:30:00;2026-06-20 23:00:00;Außengelände;Philharmonisches Orchester;38.00;28.00;upcoming;Konzerte;Klassik,Open-Air;https://images.unsplash.com/photo-1465847899084-d164df4dedc6?w=800
Poetry Slam - Worte die bewegen;Die besten Slam-Poeten der Region kämpfen um den Titel. Publikum entscheidet!;2026-05-30 20:00:00;2026-05-30 23:00:00;Kleiner Saal;Poetry Slam Pforzheim;12.00;10.00;upcoming;Literatur;Poetry,Slam,Literatur;https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800
Flohmarkt & Trödel;Großer Flohmarkt mit über 50 Ständen. Für jeden etwas dabei!;2026-06-08 09:00:00;2026-06-08 16:00:00;Außengelände;Kulturhaus Osterfeld;0.00;0.00;upcoming;Markt;Flohmarkt,Familie;https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?w=800
